key	Stream #0	Stream #1	Stream #2
0	0.442857344464437	0.140536997141317	2.2959778378683
1	1.1148710782512	0.149305787868798	1.7979216808503
2	1.46655796596896	0.121939473878874	1.07910369359778
3	0.850425508823297	0.102123756198495	0.659330609669555
4	0.342684859021381	0.104456390827251	0.368188962601303
5	0.139682119426145	0.103351256193976	0.235594496470316
6	0.145355203004362	0.172372252392147	0.202002990046593
7	0.135704534821886	0.379863827318888	0.172152644036886
8	0.112271374295643	1.29607209105406	0.199978551578113
9	0.119183440706312	2.32870146963405	0.447147071049998
10	0.126830197800958	1.33756915416102	0.961937721693089
11	0.194506703829393	0.356646934049865	1.18051270705165
12	0.114072515326559	0.166579390375921	0.959390877978638
13	0.19497293450425	0.120964945130916	0.484052179027299
14	0.142524178820305	0.203481998821083	0.229733035360789
15	0.185971706236399	0.21916010874079	0.131929185908622
16	0.137413282688107	0.542080832240183	0.161940396436273
17	0.105355578980783	1.07791434679844	0.199557468582473
18	0.173046395010799	1.38946019487099	0.13799600682401
19	0.195222739016981	0.962737019078999	0.132323031075758
20	0.19229462358673	0.412205734553252	0.19725968189467
21	0.188049497824248	0.145593038056462	0.148253401706099
22	0.201086707899893	0.111829557337384	0.162542112729393
23	0.155418945131699	0.179086865828119	0.130322958653258
24	0.174864817466099	0.187495258161413	0.169312381167221
25	0.253982360927666	0.197517831011637	0.31149938338851
26	0.363141919823633	0.10807850777658	0.776452338850884
27	0.630025614686094	0.180775747588266	1.68343454211051
28	1.12193030811101	0.174345117527992	2.9196514966265
29	1.66375121020349	0.151128698512912	3.71459895269425
30	2.26164526370094	0.156107457587495	3.69478490839358
31	2.46818817870997	0.171683928719722	2.78425120215457
32	2.33555220801173	0.126752982707694	1.76129683157064
33	1.87943132013568	0.173204747308046	1.77894496033614
34	1.27865660622137	0.117305869120176	0.96408341337508
